Name,Logic Elements,Registers,Max Clock Freq,Synthesis Time,DSP Blocks,Clock Cycles,Correct
,,,,,,,
non_restoring336,"1,836",1480                                        ;,55.12,0:05:30,0,337,1
,,,,,,,
non_restoring344,"1,871",1454                                        ;,54.71,0:06:11,0,345,1
,,,,,,,
non_restoring352,"1,913",1556                                        ;,53.44,0:05:40,0,353,1
,,,,,,,
non_restoring360,"1,941",1560                                        ;,52.77,0:05:46,0,361,1
,,,,,,,
non_restoring368,"1,980",1617                                        ;,52.22,0:06:09,0,369,1
,,,,,,,
non_restoring376,"2,019",1681                                        ;,50.61,0:06:20,0,377,1
,,,,,,,
non_restoring384,"2,057",1650                                        ;,50.82,0:06:36,0,385,1
,,,,,,,
non_restoring392,"2,108",1689                                        ;,49.68,0:06:46,0,393,1
,,,,,,,
non_restoring400,"2,146",1725                                        ;,48.91,0:07:00,0,401,1
,,,,,,,
non_restoring408,"2,188",1774                                        ;,48.14,0:07:44,0,409,1
,,,,,,,
non_restoring416,"2,230",1792                                        ;,47.61,0:06:39,0,417,1
,,,,,,,
non_restoring424,"2,255",1844                                        ;,44.98,0:07:13,0,425,1
,,,,,,,
non_restoring432,"2,294",1877                                        ;,46.23,0:07:07,0,433,1
,,,,,,,
non_restoring440,"2,333",1908                                        ;,45.97,0:07:06,0,441,1
,,,,,,,
non_restoring448,"2,370",1945                                        ;,44.01,0:07:25,0,449,1
,,,,,,,
non_restoring456,"2,421",1961                                        ;,44.43,0:06:57,0,457,1
,,,,,,,
non_restoring464,"2,461",1998                                        ;,43.08,0:07:34,0,465,1
,,,,,,,
non_restoring472,"2,503",2080                                        ;,43.24,0:08:16,0,473,1
,,,,,,,
non_restoring480,"2,545",2068                                        ;,41.94,0:08:28,0,481,1
,,,,,,,
non_restoring488,"2,568",2101                                        ;,42.17,0:08:03,0,489,1
,,,,,,,
non_restoring496,"2,613",2195                                        ;,40.82,0:08:31,0,497,1
,,,,,,,
non_restoring504,"2,645",2189                                        ;,40.61,0:08:20,0,505,1
,,,,,,,
non_restoring512,"2,687",2249                                        ;,39.98,0:08:01,0,513,1
,,,,,,,
non_restoring528,"2,860",2380                                        ;,39.05,0:09:48,0,529,1
,,,,,,,
non_restoring544,"2,958",2329                                        ;,37.75,0:09:02,0,545,1
,,,,,,,
non_restoring560,"3,031",2408                                        ;,37.11,0:09:44,0,561,0
,,,,,,,
non_restoring576,"3,108",2545                                        ;,36.06,0:10:28,0,577,1
,,,,,,,
non_restoring592,"3,195",2552                                        ;,35.8,0:11:04,0,593,1
,,,,,,,
non_restoring608,"3,268",2585                                        ;,34,0:11:00,0,609,1
,,,,,,,
non_restoring624,"3,345",2667                                        ;,33.14,0:11:38,0,625,1
,,,,,,,
non_restoring640,"3,422",2816                                        ;,32.88,0:10:46,0,641,1
,,,,,,,
non_restoring656,"3,505",2889                                        ;,32.47,0:12:21,0,657,1
,,,,,,,
non_restoring672,"3,588",3015                                        ;,31.11,0:12:12,0,673,1
,,,,,,,
non_restoring688,"3,660",2972                                        ;,31.55,0:11:54,0,689,1
,,,,,,,
non_restoring704,"3,739",2994                                        ;,30.09,0:12:57,0,705,1
,,,,,,,
non_restoring720,"3,814",3076                                        ;,29.79,0:13:23,0,721,1
,,,,,,,
non_restoring736,"3,893",3181                                        ;,29.16,0:14:11,0,737,1
,,,,,,,
non_restoring752,"3,970",3345                                        ;,29.03,0:13:54,0,753,1
,,,,,,,
non_restoring768,"4,052",3274                                        ;,28.07,0:14:58,0,769,1
,,,,,,,
non_restoring784,"4,134",3366                                        ;,27.3,0:15:01,0,785,0
,,,,,,,
non_restoring800,"4,210",3462                                        ;,27.41,0:14:48,0,801,1
,,,,,,,
non_restoring816,"4,287",3557                                        ;,26.6,0:15:07,0,817,1
,,,,,,,
non_restoring832,"4,368",3606                                        ;,26.25,0:17:28,0,833,1
,,,,,,,
non_restoring848,"4,448",3669                                        ;,25.57,0:17:18,0,849,1
,,,,,,,
non_restoring864,"4,532",3706                                        ;,25.69,0:17:22,0,865,1
,,,,,,,
non_restoring880,"4,601",3818                                        ;,24.73,0:16:45,0,881,1
,,,,,,,
non_restoring896,"4,682",3907                                        ;,24.82,0:16:26,0,897,1
,,,,,,,
non_restoring912,"4,765",3966                                        ;,24.38,0:19:24,0,913,1
,,,,,,,
non_restoring928,"4,842",3988                                        ;,23.83,0:17:46,0,929,1
,,,,,,,
non_restoring944,"4,909",4056                                        ;,23.14,0:18:21,0,945,1
,,,,,,,
non_restoring960,"4,995",4176                                        ;,23.03,0:19:00,0,961,1
,,,,,,,
non_restoring976,"5,069",4286                                        ;,22.91,0:19:14,0,977,0
,,,,,,,
non_restoring992,"5,149",4252                                        ;,22.34,0:20:13,0,993,0
,,,,,,,
non_restoring1008,"5,231",4336                                        ;,22.19,0:20:06,0,1009,1
,,,,,,,
non_restoring1024,"5,307",4412                                        ;,21.85,0:21:01,0,1025,1
,,,,,,,
non_restoring1056,"5,504",4656                                        ;,21.15,0:23:39,0,1057,1
,,,,,,,
non_restoring1088,"5,651",4713                                        ;,20.19,0:21:39,0,1089,1
,,,,,,,
non_restoring1120,"5,812",4790                                        ;,20.07,0:22:49,0,1121,1
,,,,,,,
non_restoring1152,"5,153",4624                                        ;,20.07,,0,1153,1
,,,,,,,
non_restoring1184,"5,290",4752                                        ;,20.07,,0,1185,1
,,,,,,,
non_restoring1216,"5,421",4880                                        ;,20.07,,0,1217,0
,,,,,,,
non_restoring1248,"5,546",5008                                        ;,20.07,,0,1249,0
,,,,,,,
non_restoring1280,"5,690",5136                                        ;,20.07,,0,1281,1
,,,,,,,
non_restoring1312,"5,829",5264                                        ;,20.07,,0,1313,1
,,,,,,,
non_restoring1344,"5,958",5392                                        ;,20.07,,0,1345,0
,,,,,,,
non_restoring1376,"6,096",5520                                        ;,20.07,,0,1377,0
,,,,,,,
non_restoring1408,"6,228",5648                                        ;,20.07,,0,1409,1
,,,,,,,
non_restoring1440,"6,365",5776                                        ;,20.07,,0,1441,1
,,,,,,,
non_restoring1472,"6,496",5904                                        ;,20.07,,0,1473,1
,,,,,,,
non_restoring1504,"6,787",6032                                        ;,20.07,,0,1505,1
,,,,,,,
non_restoring1536,"6,765",6160                                        ;,20.07,,0,1537,0
,,,,,,,
non_restoring1568,"6,904",6288                                        ;,20.07,,0,1569,0
,,,,,,,
non_restoring1600,"7,035",6416                                        ;,20.07,,0,1601,1
,,,,,,,
non_restoring1632,"7,174",6544                                        ;,20.07,,0,1633,0
,,,,,,,
non_restoring1664,"7,305",6672                                        ;,20.07,,0,1665,1
,,,,,,,
non_restoring1696,"7,442",6800                                        ;,20.07,,0,1697,1
,,,,,,,
non_restoring1728,"7,574",6928                                        ;,20.07,,0,1729,1
,,,,,,,
non_restoring1760,"7,698",7056                                        ;,20.07,,0,1761,1
,,,,,,,
non_restoring1792,"7,842",7184                                        ;,20.07,,0,1793,1
,,,,,,,
non_restoring1824,"6,151",7312                                        ;,20.07,,0,1825,0
,,,,,,,
non_restoring1856,"6,252",7440                                        ;,20.07,,0,1857,1
,,,,,,,
non_restoring1888,"6,358",7568                                        ;,20.07,,0,1889,1
,,,,,,,
non_restoring1920,"6,458",7696                                        ;,20.07,,0,1921,0
,,,,,,,
non_restoring1952,"6,560",7824                                        ;,20.07,,0,1953,0
,,,,,,,
non_restoring1984,"6,662",7952                                        ;,20.07,,0,1985,0
,,,,,,,
non_restoring2016,"6,765",8080                                        ;,20.07,,0,2017,0
,,,,,,,
non_restoring2048,"6,869",8209                                        ;,20.07,,0,2049,0
,,,,,,,
radix2_8,79,65                                          ;,221.29,0:01:50,0,6,1
,,,,,,,
radix2_9,98,73                                          ;,231.7,0:01:58,0,9,1
,,,,,,,
radix2_10,99,71                                          ;,222.12,0:01:50,0,7,1
,,,,,,,
radix2_11,119,83                                          ;,195.16,0:01:52,0,8,1
,,,,,,,
radix2_12,122,89                                          ;,181.09,0:01:50,0,8,1
,,,,,,,
radix2_13,138,88                                          ;,178.19,0:01:56,0,9,1
,,,,,,,
radix2_14,139,93                                          ;,180.86,0:01:56,0,11,1
,,,,,,,
radix2_15,161,107                                         ;,185.43,0:01:58,0,10,1
,,,,,,,
radix2_16,174,109                                         ;,186.64,0:01:58,0,10,1
,,,,,,,
radix2_17,194,120                                         ;,175.38,0:01:55,0,13,1
,,,,,,,
radix2_18,197,126                                         ;,176.03,0:02:00,0,11,1
,,,,,,,
radix2_19,205,125                                         ;,168.69,0:02:02,0,12,1
,,,,,,,
radix2_20,215,132                                         ;,174.19,0:02:02,0,16,1
,,,,,,,
radix2_21,238,142                                         ;,162.71,0:01:59,0,15,1
,,,,,,,
radix2_22,247,140                                         ;,174.58,0:01:56,0,16,1
,,,,,,,
radix2_23,268,150                                         ;,156.74,0:01:57,0,16,1
,,,,,,,
radix2_24,266,153                                         ;,159.16,0:01:58,0,15,1
,,,,,,,
radix2_25,294,163                                         ;,159.82,0:02:11,0,15,1
,,,,,,,
radix2_26,292,163                                         ;,163.77,0:02:13,0,16,1
,,,,,,,
radix2_27,315,168                                         ;,159.44,0:02:13,0,18,1
,,,,,,,
radix2_28,313,170                                         ;,160.46,0:02:10,0,16,1
,,,,,,,
